VulnID;OccuType;DmgType;VulnType;HydroValue;Damage;Original code
1;11100;1;1;-1.2192;0;RES3F
1;11100;1;1;-0.9144;0;RES3F
1;11100;1;1;-0.6096;0;RES3F
1;11100;1;1;-0.3048;0;RES3F
1;11100;1;1;0;0.05;RES3F
1;11100;1;1;0.3048;0.28;RES3F
1;11100;1;1;0.6096;0.29;RES3F
1;11100;1;1;0.9144;0.31;RES3F
1;11100;1;1;1.2192;0.36;RES3F
1;11100;1;1;1.524;0.37;RES3F
1;11100;1;1;1.8288;0.39;RES3F
1;11100;1;1;2.1336;0.4;RES3F
1;11100;1;1;2.4384;0.41;RES3F
1;11100;1;1;2.7432;0.42;RES3F
1;11100;1;1;3.048;0.44;RES3F
1;11100;1;1;3.3528;0.46;RES3F
1;11100;1;1;3.6576;0.48;RES3F
1;11100;1;1;3.9624;0.52;RES3F
1;11100;1;1;4.2672;0.55;RES3F
1;11100;1;1;4.572;0.58;RES3F
1;11100;1;1;4.8768;0.61;RES3F
1;11100;1;1;5.1816;0.64;RES3F
1;11100;1;1;5.4864;0.68;RES3F
1;11100;1;1;5.7912;0.69;RES3F
1;11100;1;1;6.096;0.7;RES3F
1;11100;1;1;6.4008;0.71;RES3F
1;11100;1;1;6.7056;0.72;RES3F
1;11100;1;1;7.0104;0.73;RES3F
1;11100;1;1;7.3152;0.74;RES3F
1;11100;2;1;-1.2192;0;RES3F
1;11100;2;1;-0.9144;0;RES3F
1;11100;2;1;-0.6096;0;RES3F
1;11100;2;1;-0.3048;0;RES3F
1;11100;2;1;0;0.04;RES3F
1;11100;2;1;0.3048;0.24;RES3F
1;11100;2;1;0.6096;0.34;RES3F
1;11100;2;1;0.9144;0.4;RES3F
1;11100;2;1;1.2192;0.47;RES3F
1;11100;2;1;1.524;0.53;RES3F
1;11100;2;1;1.8288;0.56;RES3F
1;11100;2;1;2.1336;0.58;RES3F
1;11100;2;1;2.4384;0.58;RES3F
1;11100;2;1;2.7432;0.58;RES3F
1;11100;2;1;3.048;0.61;RES3F
1;11100;2;1;3.3528;0.66;RES3F
1;11100;2;1;3.6576;0.68;RES3F
1;11100;2;1;3.9624;0.76;RES3F
1;11100;2;1;4.2672;0.81;RES3F
1;11100;2;1;4.572;0.86;RES3F
1;11100;2;1;4.8768;0.91;RES3F
1;11100;2;1;5.1816;1;RES3F
1;11100;2;1;5.4864;1;RES3F
1;11100;2;1;5.7912;1;RES3F
1;11100;2;1;6.096;1;RES3F
1;11100;2;1;6.4008;1;RES3F
1;11100;2;1;6.7056;1;RES3F
1;11100;2;1;7.0104;1;RES3F
1;11100;2;1;7.3152;1;RES3F
1;11210;1;1;-1.2192;0;RES3F
1;11210;1;1;-0.9144;0;RES3F
1;11210;1;1;-0.6096;0;RES3F
1;11210;1;1;-0.3048;0;RES3F
1;11210;1;1;0;0.05;RES3F
1;11210;1;1;0.3048;0.28;RES3F
1;11210;1;1;0.6096;0.29;RES3F
1;11210;1;1;0.9144;0.31;RES3F
1;11210;1;1;1.2192;0.36;RES3F
1;11210;1;1;1.524;0.37;RES3F
1;11210;1;1;1.8288;0.39;RES3F
1;11210;1;1;2.1336;0.4;RES3F
1;11210;1;1;2.4384;0.41;RES3F
1;11210;1;1;2.7432;0.42;RES3F
1;11210;1;1;3.048;0.44;RES3F
1;11210;1;1;3.3528;0.46;RES3F
1;11210;1;1;3.6576;0.48;RES3F
1;11210;1;1;3.9624;0.52;RES3F
1;11210;1;1;4.2672;0.55;RES3F
1;11210;1;1;4.572;0.58;RES3F
1;11210;1;1;4.8768;0.61;RES3F
1;11210;1;1;5.1816;0.64;RES3F
1;11210;1;1;5.4864;0.68;RES3F
1;11210;1;1;5.7912;0.69;RES3F
1;11210;1;1;6.096;0.7;RES3F
1;11210;1;1;6.4008;0.71;RES3F
1;11210;1;1;6.7056;0.72;RES3F
1;11210;1;1;7.0104;0.73;RES3F
1;11210;1;1;7.3152;0.74;RES3F
1;11210;2;1;-1.2192;0;RES3F
1;11210;2;1;-0.9144;0;RES3F
1;11210;2;1;-0.6096;0;RES3F
1;11210;2;1;-0.3048;0;RES3F
1;11210;2;1;0;0.04;RES3F
1;11210;2;1;0.3048;0.24;RES3F
1;11210;2;1;0.6096;0.34;RES3F
1;11210;2;1;0.9144;0.4;RES3F
1;11210;2;1;1.2192;0.47;RES3F
1;11210;2;1;1.524;0.53;RES3F
1;11210;2;1;1.8288;0.56;RES3F
1;11210;2;1;2.1336;0.58;RES3F
1;11210;2;1;2.4384;0.58;RES3F
1;11210;2;1;2.7432;0.58;RES3F
1;11210;2;1;3.048;0.61;RES3F
1;11210;2;1;3.3528;0.66;RES3F
1;11210;2;1;3.6576;0.68;RES3F
1;11210;2;1;3.9624;0.76;RES3F
1;11210;2;1;4.2672;0.81;RES3F
1;11210;2;1;4.572;0.86;RES3F
1;11210;2;1;4.8768;0.91;RES3F
1;11210;2;1;5.1816;1;RES3F
1;11210;2;1;5.4864;1;RES3F
1;11210;2;1;5.7912;1;RES3F
1;11210;2;1;6.096;1;RES3F
1;11210;2;1;6.4008;1;RES3F
1;11210;2;1;6.7056;1;RES3F
1;11210;2;1;7.0104;1;RES3F
1;11210;2;1;7.3152;1;RES3F
1;11220;1;1;-1.2192;0;RES3F
1;11220;1;1;-0.9144;0;RES3F
1;11220;1;1;-0.6096;0;RES3F
1;11220;1;1;-0.3048;0;RES3F
1;11220;1;1;0;0.05;RES3F
1;11220;1;1;0.3048;0.28;RES3F
1;11220;1;1;0.6096;0.29;RES3F
1;11220;1;1;0.9144;0.31;RES3F
1;11220;1;1;1.2192;0.36;RES3F
1;11220;1;1;1.524;0.37;RES3F
1;11220;1;1;1.8288;0.39;RES3F
1;11220;1;1;2.1336;0.4;RES3F
1;11220;1;1;2.4384;0.41;RES3F
1;11220;1;1;2.7432;0.42;RES3F
1;11220;1;1;3.048;0.44;RES3F
1;11220;1;1;3.3528;0.46;RES3F
1;11220;1;1;3.6576;0.48;RES3F
1;11220;1;1;3.9624;0.52;RES3F
1;11220;1;1;4.2672;0.55;RES3F
1;11220;1;1;4.572;0.58;RES3F
1;11220;1;1;4.8768;0.61;RES3F
1;11220;1;1;5.1816;0.64;RES3F
1;11220;1;1;5.4864;0.68;RES3F
1;11220;1;1;5.7912;0.69;RES3F
1;11220;1;1;6.096;0.7;RES3F
1;11220;1;1;6.4008;0.71;RES3F
1;11220;1;1;6.7056;0.72;RES3F
1;11220;1;1;7.0104;0.73;RES3F
1;11220;1;1;7.3152;0.74;RES3F
1;11220;2;1;-1.2192;0;RES3F
1;11220;2;1;-0.9144;0;RES3F
1;11220;2;1;-0.6096;0;RES3F
1;11220;2;1;-0.3048;0;RES3F
1;11220;2;1;0;0.04;RES3F
1;11220;2;1;0.3048;0.24;RES3F
1;11220;2;1;0.6096;0.34;RES3F
1;11220;2;1;0.9144;0.4;RES3F
1;11220;2;1;1.2192;0.47;RES3F
1;11220;2;1;1.524;0.53;RES3F
1;11220;2;1;1.8288;0.56;RES3F
1;11220;2;1;2.1336;0.58;RES3F
1;11220;2;1;2.4384;0.58;RES3F
1;11220;2;1;2.7432;0.58;RES3F
1;11220;2;1;3.048;0.61;RES3F
1;11220;2;1;3.3528;0.66;RES3F
1;11220;2;1;3.6576;0.68;RES3F
1;11220;2;1;3.9624;0.76;RES3F
1;11220;2;1;4.2672;0.81;RES3F
1;11220;2;1;4.572;0.86;RES3F
1;11220;2;1;4.8768;0.91;RES3F
1;11220;2;1;5.1816;1;RES3F
1;11220;2;1;5.4864;1;RES3F
1;11220;2;1;5.7912;1;RES3F
1;11220;2;1;6.096;1;RES3F
1;11220;2;1;6.4008;1;RES3F
1;11220;2;1;6.7056;1;RES3F
1;11220;2;1;7.0104;1;RES3F
1;11220;2;1;7.3152;1;RES3F
1;11230;1;1;-1.2192;0;RES3F
1;11230;1;1;-0.9144;0;RES3F
1;11230;1;1;-0.6096;0;RES3F
1;11230;1;1;-0.3048;0;RES3F
1;11230;1;1;0;0.05;RES3F
1;11230;1;1;0.3048;0.28;RES3F
1;11230;1;1;0.6096;0.29;RES3F
1;11230;1;1;0.9144;0.31;RES3F
1;11230;1;1;1.2192;0.36;RES3F
1;11230;1;1;1.524;0.37;RES3F
1;11230;1;1;1.8288;0.39;RES3F
1;11230;1;1;2.1336;0.4;RES3F
1;11230;1;1;2.4384;0.41;RES3F
1;11230;1;1;2.7432;0.42;RES3F
1;11230;1;1;3.048;0.44;RES3F
1;11230;1;1;3.3528;0.46;RES3F
1;11230;1;1;3.6576;0.48;RES3F
1;11230;1;1;3.9624;0.52;RES3F
1;11230;1;1;4.2672;0.55;RES3F
1;11230;1;1;4.572;0.58;RES3F
1;11230;1;1;4.8768;0.61;RES3F
1;11230;1;1;5.1816;0.64;RES3F
1;11230;1;1;5.4864;0.68;RES3F
1;11230;1;1;5.7912;0.69;RES3F
1;11230;1;1;6.096;0.7;RES3F
1;11230;1;1;6.4008;0.71;RES3F
1;11230;1;1;6.7056;0.72;RES3F
1;11230;1;1;7.0104;0.73;RES3F
1;11230;1;1;7.3152;0.74;RES3F
1;11230;2;1;-1.2192;0;RES3F
1;11230;2;1;-0.9144;0;RES3F
1;11230;2;1;-0.6096;0;RES3F
1;11230;2;1;-0.3048;0;RES3F
1;11230;2;1;0;0.04;RES3F
1;11230;2;1;0.3048;0.24;RES3F
1;11230;2;1;0.6096;0.34;RES3F
1;11230;2;1;0.9144;0.4;RES3F
1;11230;2;1;1.2192;0.47;RES3F
1;11230;2;1;1.524;0.53;RES3F
1;11230;2;1;1.8288;0.56;RES3F
1;11230;2;1;2.1336;0.58;RES3F
1;11230;2;1;2.4384;0.58;RES3F
1;11230;2;1;2.7432;0.58;RES3F
1;11230;2;1;3.048;0.61;RES3F
1;11230;2;1;3.3528;0.66;RES3F
1;11230;2;1;3.6576;0.68;RES3F
1;11230;2;1;3.9624;0.76;RES3F
1;11230;2;1;4.2672;0.81;RES3F
1;11230;2;1;4.572;0.86;RES3F
1;11230;2;1;4.8768;0.91;RES3F
1;11230;2;1;5.1816;1;RES3F
1;11230;2;1;5.4864;1;RES3F
1;11230;2;1;5.7912;1;RES3F
1;11230;2;1;6.096;1;RES3F
1;11230;2;1;6.4008;1;RES3F
1;11230;2;1;6.7056;1;RES3F
1;11230;2;1;7.0104;1;RES3F
1;11230;2;1;7.3152;1;RES3F
1;11240;1;1;-1.2192;0;RES1
1;11240;1;1;-0.9144;0;RES1
1;11240;1;1;-0.6096;0;RES1
1;11240;1;1;-0.3048;0;RES1
1;11240;1;1;0;0.18;RES1
1;11240;1;1;0.3048;0.22;RES1
1;11240;1;1;0.6096;0.25;RES1
1;11240;1;1;0.9144;0.28;RES1
1;11240;1;1;1.2192;0.3;RES1
1;11240;1;1;1.524;0.31;RES1
1;11240;1;1;1.8288;0.4;RES1
1;11240;1;1;2.1336;0.43;RES1
1;11240;1;1;2.4384;0.43;RES1
1;11240;1;1;2.7432;0.45;RES1
1;11240;1;1;3.048;0.46;RES1
1;11240;1;1;3.3528;0.47;RES1
1;11240;1;1;3.6576;0.47;RES1
1;11240;1;1;3.9624;0.49;RES1
1;11240;1;1;4.2672;0.5;RES1
1;11240;1;1;4.572;0.5;RES1
1;11240;1;1;4.8768;0.5;RES1
1;11240;1;1;5.1816;0.51;RES1
1;11240;1;1;5.4864;0.51;RES1
1;11240;1;1;5.7912;0.52;RES1
1;11240;1;1;6.096;0.52;RES1
1;11240;1;1;6.4008;0.53;RES1
1;11240;1;1;6.7056;0.53;RES1
1;11240;1;1;7.0104;0.54;RES1
1;11240;1;1;7.3152;0.54;RES1
1;11240;2;1;-1.2192;0;RES1
1;11240;2;1;-0.9144;0;RES1
1;11240;2;1;-0.6096;0;RES1
1;11240;2;1;-0.3048;0;RES1
1;11240;2;1;0;0.12;RES1
1;11240;2;1;0.3048;0.25;RES1
1;11240;2;1;0.6096;0.35;RES1
1;11240;2;1;0.9144;0.36;RES1
1;11240;2;1;1.2192;0.38;RES1
1;11240;2;1;1.524;0.41;RES1
1;11240;2;1;1.8288;0.45;RES1
1;11240;2;1;2.1336;0.5;RES1
1;11240;2;1;2.4384;0.55;RES1
1;11240;2;1;2.7432;0.6;RES1
1;11240;2;1;3.048;0.6;RES1
1;11240;2;1;3.3528;0.6;RES1
1;11240;2;1;3.6576;0.6;RES1
1;11240;2;1;3.9624;0.6;RES1
1;11240;2;1;4.2672;0.6;RES1
1;11240;2;1;4.572;0.6;RES1
1;11240;2;1;4.8768;0.6;RES1
1;11240;2;1;5.1816;0.6;RES1
1;11240;2;1;5.4864;0.6;RES1
1;11240;2;1;5.7912;0.6;RES1
1;11240;2;1;6.096;0.6;RES1
1;11240;2;1;6.4008;0.6;RES1
1;11300;1;1;-1.2192;0;RES1
1;11300;1;1;-0.9144;0;RES1
1;11300;1;1;-0.6096;0;RES1
1;11300;1;1;-0.3048;0;RES1
1;11300;1;1;0;0.18;RES1
1;11300;1;1;0.3048;0.22;RES1
1;11300;1;1;0.6096;0.25;RES1
1;11300;1;1;0.9144;0.28;RES1
1;11300;1;1;1.2192;0.3;RES1
1;11300;1;1;1.524;0.31;RES1
1;11300;1;1;1.8288;0.4;RES1
1;11300;1;1;2.1336;0.43;RES1
1;11300;1;1;2.4384;0.43;RES1
1;11300;1;1;2.7432;0.45;RES1
1;11300;1;1;3.048;0.46;RES1
1;11300;1;1;3.3528;0.47;RES1
1;11300;1;1;3.6576;0.47;RES1
1;11300;1;1;3.9624;0.49;RES1
1;11300;1;1;4.2672;0.5;RES1
1;11300;1;1;4.572;0.5;RES1
1;11300;1;1;4.8768;0.5;RES1
1;11300;1;1;5.1816;0.51;RES1
1;11300;1;1;5.4864;0.51;RES1
1;11300;1;1;5.7912;0.52;RES1
1;11300;1;1;6.096;0.52;RES1
1;11300;1;1;6.4008;0.53;RES1
1;11300;1;1;6.7056;0.53;RES1
1;11300;1;1;7.0104;0.54;RES1
1;11300;1;1;7.3152;0.54;RES1
1;11300;2;1;-1.2192;0;RES1
1;11300;2;1;-0.9144;0;RES1
1;11300;2;1;-0.6096;0;RES1
1;11300;2;1;-0.3048;0;RES1
1;11300;2;1;0;0.12;RES1
1;11300;2;1;0.3048;0.25;RES1
1;11300;2;1;0.6096;0.35;RES1
1;11300;2;1;0.9144;0.36;RES1
1;11300;2;1;1.2192;0.38;RES1
1;11300;2;1;1.524;0.41;RES1
1;11300;2;1;1.8288;0.45;RES1
1;11300;2;1;2.1336;0.5;RES1
1;11300;2;1;2.4384;0.55;RES1
1;11300;2;1;2.7432;0.6;RES1
1;11300;2;1;3.048;0.6;RES1
1;11300;2;1;3.3528;0.6;RES1
1;11300;2;1;3.6576;0.6;RES1
1;11300;2;1;3.9624;0.6;RES1
1;11300;2;1;4.2672;0.6;RES1
1;11300;2;1;4.572;0.6;RES1
1;11300;2;1;4.8768;0.6;RES1
1;11300;2;1;5.1816;0.6;RES1
1;11300;2;1;5.4864;0.6;RES1
1;11300;2;1;5.7912;0.6;RES1
1;11300;2;1;6.096;0.6;RES1
1;11300;2;1;6.4008;0.6;RES1
1;12100;1;1;-1.2192;0;IND_AVE
1;12100;1;1;-0.9144;0;IND_AVE
1;12100;1;1;-0.6096;0;IND_AVE
1;12100;1;1;-0.3048;0;IND_AVE
1;12100;1;1;0;0.01;IND_AVE
1;12100;1;1;0.3048;0.09;IND_AVE
1;12100;1;1;0.6096;0.14;IND_AVE
1;12100;1;1;0.9144;0.165;IND_AVE
1;12100;1;1;1.2192;0.2;IND_AVE
1;12100;1;1;1.524;0.23;IND_AVE
1;12100;1;1;1.8288;0.265;IND_AVE
1;12100;1;1;2.1336;0.29;IND_AVE
1;12100;1;1;2.4384;0.325;IND_AVE
1;12100;1;1;2.7432;0.355;IND_AVE
1;12100;1;1;3.048;0.385;IND_AVE
1;12100;1;1;3.3528;0.425;IND_AVE
1;12100;1;1;3.6576;0.465;IND_AVE
1;12100;1;1;3.9624;0.495;IND_AVE
1;12100;1;1;4.2672;0.525;IND_AVE
1;12100;1;1;4.572;0.545;IND_AVE
1;12100;1;1;4.8768;0.575;IND_AVE
1;12100;1;1;5.1816;0.595;IND_AVE
1;12100;1;1;5.4864;0.62;IND_AVE
1;12100;1;1;5.7912;0.64;IND_AVE
1;12100;1;1;6.096;0.655;IND_AVE
1;12100;1;1;6.4008;0.68;IND_AVE
1;12100;1;1;6.7056;0.695;IND_AVE
1;12100;1;1;7.0104;0.715;IND_AVE
1;12100;1;1;7.3152;0.73;IND_AVE
1;12100;2;1;-1.2192;0;IND_AVE
1;12100;2;1;-0.9144;0;IND_AVE
1;12100;2;1;-0.6096;0;IND_AVE
1;12100;2;1;-0.3048;0;IND_AVE
1;12100;2;1;0;0.01;IND_AVE
1;12100;2;1;0.3048;0.175;IND_AVE
1;12100;2;1;0.6096;0.325;IND_AVE
1;12100;2;1;0.9144;0.455;IND_AVE
1;12100;2;1;1.2192;0.56;IND_AVE
1;12100;2;1;1.524;0.65;IND_AVE
1;12100;2;1;1.8288;0.705;IND_AVE
1;12100;2;1;2.1336;0.735;IND_AVE
1;12100;2;1;2.4384;0.76;IND_AVE
1;12100;2;1;2.7432;0.78;IND_AVE
1;12100;2;1;3.048;0.795;IND_AVE
1;12100;2;1;3.3528;0.815;IND_AVE
1;12100;2;1;3.6576;0.825;IND_AVE
1;12100;2;1;3.9624;0.845;IND_AVE
1;12100;2;1;4.2672;0.85;IND_AVE
1;12100;2;1;4.572;0.85;IND_AVE
1;12100;2;1;4.8768;0.86;IND_AVE
1;12100;2;1;5.1816;0.865;IND_AVE
1;12100;2;1;5.4864;0.87;IND_AVE
1;12100;2;1;5.7912;0.87;IND_AVE
1;12100;2;1;6.096;0.87;IND_AVE
1;12100;2;1;6.4008;0.875;IND_AVE
1;12100;2;1;6.7056;0.875;IND_AVE
1;12100;2;1;7.0104;0.875;IND_AVE
1;12100;2;1;7.3152;0.875;IND_AVE
1;13100;1;1;-1.2192;0;IND6
1;13100;1;1;-0.9144;0;IND6
1;13100;1;1;-0.6096;0;IND6
1;13100;1;1;-0.3048;0;IND6
1;13100;1;1;0;0;IND6
1;13100;1;1;0.3048;0.22;IND6
1;13100;1;1;0.6096;0.31;IND6
1;13100;1;1;0.9144;0.37;IND6
1;13100;1;1;1.2192;0.43;IND6
1;13100;1;1;1.524;0.47;IND6
1;13100;1;1;1.8288;0.5;IND6
1;13100;1;1;2.1336;0.54;IND6
1;13100;1;1;2.4384;0.57;IND6
1;13100;1;1;2.7432;0.61;IND6
1;13100;1;1;3.048;0.63;IND6
1;13100;1;1;3.3528;0.64;IND6
1;13100;1;1;3.6576;0.65;IND6
1;13100;1;1;3.9624;0.67;IND6
1;13100;1;1;4.2672;0.68;IND6
1;13100;1;1;4.572;0.69;IND6
1;13100;1;1;4.8768;0.7;IND6
1;13100;1;1;5.1816;0.71;IND6
1;13100;1;1;5.4864;0.72;IND6
1;13100;1;1;5.7912;0.73;IND6
1;13100;1;1;6.096;0.74;IND6
1;13100;1;1;6.4008;0.75;IND6
1;13100;1;1;6.7056;0.76;IND6
1;13100;2;1;-1.2192;0;IND6
1;13100;2;1;-0.9144;0;IND6
1;13100;2;1;-0.6096;0;IND6
1;13100;2;1;-0.3048;0;IND6
1;13100;2;1;0;0;IND6
1;13100;2;1;0.3048;0.2;IND6
1;13100;2;1;0.6096;0.35;IND6
1;13100;2;1;0.9144;0.47;IND6
1;13100;2;1;1.2192;0.56;IND6
1;13100;2;1;1.524;0.59;IND6
1;13100;2;1;1.8288;0.66;IND6
1;13100;2;1;2.1336;0.69;IND6
1;13100;2;1;2.4384;0.71;IND6
1;13100;2;1;2.7432;0.72;IND6
1;13100;2;1;3.048;0.78;IND6
1;13100;2;1;3.3528;0.79;IND6
1;13100;2;1;3.6576;0.8;IND6
1;13100;2;1;3.9624;0.8;IND6
1;13100;2;1;4.2672;0.81;IND6
1;13100;2;1;4.572;0.81;IND6
1;13100;2;1;4.8768;0.81;IND6
1;13100;2;1;5.1816;0.82;IND6
1;13100;2;1;5.4864;0.82;IND6
1;13100;2;1;5.7912;0.82;IND6
1;13100;2;1;6.096;0.83;IND6
1;13100;2;1;6.4008;0.83;IND6
1;13100;2;1;6.7056;0.83;IND6
1;13100;2;1;7.0104;0.83;IND6
1;13300;1;1;-1.2192;0;IND6
1;13300;1;1;-0.9144;0;IND6
1;13300;1;1;-0.6096;0;IND6
1;13300;1;1;-0.3048;0;IND6
1;13300;1;1;0;0;IND6
1;13300;1;1;0.3048;0.22;IND6
1;13300;1;1;0.6096;0.31;IND6
1;13300;1;1;0.9144;0.37;IND6
1;13300;1;1;1.2192;0.43;IND6
1;13300;1;1;1.524;0.47;IND6
1;13300;1;1;1.8288;0.5;IND6
1;13300;1;1;2.1336;0.54;IND6
1;13300;1;1;2.4384;0.57;IND6
1;13300;1;1;2.7432;0.61;IND6
1;13300;1;1;3.048;0.63;IND6
1;13300;1;1;3.3528;0.64;IND6
1;13300;1;1;3.6576;0.65;IND6
1;13300;1;1;3.9624;0.67;IND6
1;13300;1;1;4.2672;0.68;IND6
1;13300;1;1;4.572;0.69;IND6
1;13300;1;1;4.8768;0.7;IND6
1;13300;1;1;5.1816;0.71;IND6
1;13300;1;1;5.4864;0.72;IND6
1;13300;1;1;5.7912;0.73;IND6
1;13300;1;1;6.096;0.74;IND6
1;13300;1;1;6.4008;0.75;IND6
1;13300;1;1;6.7056;0.76;IND6
1;13300;2;1;-1.2192;0;IND6
1;13300;2;1;-0.9144;0;IND6
1;13300;2;1;-0.6096;0;IND6
1;13300;2;1;-0.3048;0;IND6
1;13300;2;1;0;0;IND6
1;13300;2;1;0.3048;0.2;IND6
1;13300;2;1;0.6096;0.35;IND6
1;13300;2;1;0.9144;0.47;IND6
1;13300;2;1;1.2192;0.56;IND6
1;13300;2;1;1.524;0.59;IND6
1;13300;2;1;1.8288;0.66;IND6
1;13300;2;1;2.1336;0.69;IND6
1;13300;2;1;2.4384;0.71;IND6
1;13300;2;1;2.7432;0.72;IND6
1;13300;2;1;3.048;0.78;IND6
1;13300;2;1;3.3528;0.79;IND6
1;13300;2;1;3.6576;0.8;IND6
1;13300;2;1;3.9624;0.8;IND6
1;13300;2;1;4.2672;0.81;IND6
1;13300;2;1;4.572;0.81;IND6
1;13300;2;1;4.8768;0.81;IND6
1;13300;2;1;5.1816;0.82;IND6
1;13300;2;1;5.4864;0.82;IND6
1;13300;2;1;5.7912;0.82;IND6
1;13300;2;1;6.096;0.83;IND6
1;13300;2;1;6.4008;0.83;IND6
1;13300;2;1;6.7056;0.83;IND6
1;13300;2;1;7.0104;0.83;IND6
1;13400;1;1;-1.2192;0;AGR1
1;13400;1;1;-0.9144;0;AGR1
1;13400;1;1;-0.6096;0;AGR1
1;13400;1;1;-0.3048;0;AGR1
1;13400;1;1;0;0;AGR1
1;13400;1;1;0.3048;0.06;AGR1
1;13400;1;1;0.6096;0.11;AGR1
1;13400;1;1;0.9144;0.15;AGR1
1;13400;1;1;1.2192;0.19;AGR1
1;13400;1;1;1.524;0.25;AGR1
1;13400;1;1;1.8288;0.3;AGR1
1;13400;1;1;2.1336;0.35;AGR1
1;13400;1;1;2.4384;0.41;AGR1
1;13400;1;1;2.7432;0.46;AGR1
1;13400;1;1;3.048;0.51;AGR1
1;13400;1;1;3.3528;0.57;AGR1
1;13400;1;1;3.6576;0.63;AGR1
1;13400;1;1;3.9624;0.7;AGR1
1;13400;1;1;4.2672;0.75;AGR1
1;13400;1;1;4.572;0.79;AGR1
1;13400;1;1;4.8768;0.82;AGR1
1;13400;1;1;5.1816;0.84;AGR1
1;13400;1;1;5.4864;0.87;AGR1
1;13400;1;1;5.7912;0.89;AGR1
1;13400;1;1;6.096;0.9;AGR1
1;13400;1;1;6.4008;0.92;AGR1
1;13400;1;1;6.7056;0.93;AGR1
1;13400;1;1;7.0104;0.95;AGR1
1;13400;1;1;7.3152;0.96;AGR1
1;13400;2;1;-1.2192;0;AGR1
1;13400;2;1;-0.9144;0;AGR1
1;13400;2;1;-0.6096;0;AGR1
1;13400;2;1;-0.3048;0;AGR1
1;13400;2;1;0;0.06;AGR1
1;13400;2;1;0.3048;0.2;AGR1
1;13400;2;1;0.6096;0.43;AGR1
1;13400;2;1;0.9144;0.58;AGR1
1;13400;2;1;1.2192;0.65;AGR1
1;13400;2;1;1.524;0.66;AGR1
1;13400;2;1;1.8288;0.66;AGR1
1;13400;2;1;2.1336;0.67;AGR1
1;13400;2;1;2.4384;0.7;AGR1
1;13400;2;1;2.7432;0.75;AGR1
1;13400;2;1;3.048;0.76;AGR1
1;13400;2;1;3.3528;0.76;AGR1
1;13400;2;1;3.6576;0.76;AGR1
1;13400;2;1;3.9624;0.77;AGR1
1;13400;2;1;4.2672;0.77;AGR1
1;13400;2;1;4.572;0.77;AGR1
1;13400;2;1;4.8768;0.78;AGR1
1;13400;2;1;5.1816;0.78;AGR1
1;13400;2;1;5.4864;0.78;AGR1
1;13400;2;1;5.7912;0.79;AGR1
1;13400;2;1;6.096;0.79;AGR1
1;13400;2;1;6.4008;0.79;AGR1
1;13400;2;1;6.7056;0.79;AGR1
1;13400;2;1;7.0104;0.8;AGR1
1;14100;1;1;-1.2192;0;AGR1
1;14100;1;1;-0.9144;0;AGR1
1;14100;1;1;-0.6096;0;AGR1
1;14100;1;1;-0.3048;0;AGR1
1;14100;1;1;0;0;AGR1
1;14100;1;1;0.3048;0.06;AGR1
1;14100;1;1;0.6096;0.11;AGR1
1;14100;1;1;0.9144;0.15;AGR1
